Id,MSZoning,LotArea,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,TotalBsmtSF,HeatingQC,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,KitchenQual,SalePrice
471,FV,13168.0,Crawfor,2,1990,2007,TA,CBlock,,TA,1922,2,1,3,7,2,4.0,1022.5219762041563,5,18,TA,193010
472,FV,5471.0,Edwards,10,1954,1991,Gd,CBlock,1421.0,TA,1579,2,1,3,6,0,3.0,676.5155619857226,21,8,Ex,280827
473,RM,10691.0,NWAmes,3,2004,2010,TA,CBlock,632.0,Ex,2152,2,0,4,6,1,,507.3168184082973,65,2,Gd,224747
474,RL,7675.0,CollgCr,9,1900,1922,TA,PConc,747.0,Ex,1748,1,0,3,5,1,0.0,0.0,21,3,Gd,201270
475,RM,,Crawfor,7,1971,1992,TA,CBlock,1008.0,TA,1197,2,1,3,7,0,3.0,643.7608482103285,18,11,Ex,189953
476,RL,14318.0,Sawyer,10,1986,1987,Gd,PConc,683.0,Gd,1404,3,0,3,6,0,3.0,807.8294860212532,6,0,Gd,251384
477,FV,7774.0,NAmes,4,1937,1967,Gd,PConc,458.0,Gd,595,2,1,3,6,0,3.0,596.9941547773828,3,7,TA,114247
478,RL,9617.0,OldTown,7,1905,1915,Gd,CBlock,1327.0,Gd,1139,2,0,3,7,0,1.0,255.52714241793052,6,46,TA,181450
479,RM,10733.0,Edwards,10,1985,2010,Gd,PConc,331.0,Ex,1347,2,0,3,5,1,4.0,1211.8711232590601,104,8,Gd,256199
480,RL,12590.0,NoRidge,7,1924,1955,TA,CBlock,879.0,Ex,1718,3,0,3,5,2,2.0,540.833032269145,0,3,TA,216369
481,RL,10087.0,NridgHt,7,1981,1985,Ex,CBlock,1227.0,Ex,1199,1,1,3,5,1,2.0,,59,89,TA,215007
482,RM,6925.0,NAmes,7,1916,1953,Gd,CBlock,1080.0,Ex,1001,2,0,3,5,1,3.0,669.2315992546185,73,29,Gd,183847
483,RM,7847.0,NoRidge,6,1960,1969,TA,PConc,883.0,Ex,744,3,0,2,6,0,2.0,606.1437231891716,41,1,TA,171441
484,RL,9986.0,Sawyer,7,1911,1950,TA,Slab,670.0,Ex,1261,1,0,3,6,0,3.0,873.904628514206,65,1,Gd,184466
485,FV,13703.0,CollgCr,7,1905,1928,TA,CBlock,1103.0,TA,2280,2,0,3,5,1,2.0,449.384598626266,52,28,TA,243546
486,RL,11283.0,Somerst,9,1989,2010,TA,PConc,703.0,Gd,1608,2,0,3,6,2,4.0,943.0284109822147,30,23,Gd,264352
487,RL,7679.0,NridgHt,3,1926,1948,Ex,PConc,1079.0,Ex,1875,2,0,4,7,1,2.0,575.2793626956013,24,2,TA,208930
488,RL,11945.0,Sawyer,6,1907,1923,Gd,CBlock,1042.0,Ex,1139,2,1,2,4,0,3.0,911.6532640485083,141,7,TA,176632
489,RL,8839.0,OldTown,10,1982,1982,Ex,BrkTil,1045.0,Gd,870,2,0,3,5,1,1.0,212.05941894729136,178,79,Gd,228264
490,RL,12671.0,Crawfor,9,2005,2010,TA,CBlock,807.0,Ex,1011,2,1,2,4,1,2.0,,52,25,Fa,191702
491,RM,17581.0,NWAmes,6,1964,1994,Ex,CBlock,1610.0,Gd,1461,1,1,3,6,1,2.0,491.37279461466983,10,17,Gd,225409
492,RL,8923.0,Crawfor,7,1956,1989,TA,PConc,1107.0,TA,702,2,0,3,7,1,2.0,,29,8,TA,164096
493,RL,12404.0,Somerst,5,1992,2000,Gd,PConc,916.0,Gd,1097,1,0,3,5,1,2.0,501.1427096125654,34,4,TA,164921
494,RM,7763.0,Sawyer,5,2008,2010,TA,PConc,1079.0,Ex,1265,1,1,3,6,0,2.0,571.144610841799,70,15,TA,175481
495,RM,9663.0,Edwards,6,1998,2010,TA,CBlock,767.0,TA,971,3,0,3,6,2,1.0,206.8408895129275,55,76,Gd,182421
496,RL,10088.0,Crawfor,6,1939,1963,TA,PConc,884.0,Ex,650,2,0,4,6,0,2.0,507.6264178985052,36,1,Gd,154292
497,RL,9418.0,NWAmes,7,1913,1930,TA,PConc,1717.0,Ex,1615,3,0,4,8,0,2.0,465.09375770028123,57,141,TA,233930
498,RL,17389.0,Sawyer,4,1934,1945,TA,PConc,769.0,Ex,1518,1,1,5,7,2,3.0,897.5951353878527,1,6,Ex,204553
499,RL,9080.0,Somerst,10,1947,1986,TA,BrkTil,976.0,TA,1811,2,0,4,6,0,0.0,0.0,74,15,TA,232720
500,RL,11760.0,OldTown,10,2008,2010,TA,CBlock,,Ex,1055,1,1,4,8,0,,295.5697926324575,11,1,TA,178111
501,RL,4209.0,NAmes,7,1983,1997,TA,PConc,688.0,TA,1803,2,1,3,5,0,2.0,464.15269575132635,53,26,TA,227892
502,RM,11295.0,Timber,7,1955,1969,TA,BrkTil,1126.0,Ex,2111,2,0,2,4,1,2.0,546.2705483200477,6,19,Gd,248087
503,RL,13426.0,Somerst,6,1948,1962,Gd,PConc,1010.0,Ex,1604,1,0,1,5,0,2.0,515.1167371017619,6,32,TA,188379
504,RL,8417.0,Somerst,8,1912,1950,TA,PConc,1273.0,Gd,1256,3,0,3,6,0,2.0,491.7036400091419,1,23,TA,208411
505,FV,2469.0,Edwards,7,1960,1972,Gd,PConc,1243.0,Ex,1558,1,0,4,7,0,3.0,678.8524287851421,120,15,TA,232627
506,RL,9884.0,SawyerW,5,2001,2010,Gd,PConc,1270.0,Ex,1236,2,0,2,5,1,2.0,519.3857252790735,46,40,TA,194452
507,RL,10051.0,SawyerW,9,1948,1979,TA,PConc,724.0,Ex,1170,3,0,3,6,0,2.0,473.5678842509053,22,0,Gd,222303
508,FV,12172.0,Sawyer,8,1945,1953,Gd,CBlock,1192.0,Ex,1773,2,0,3,6,1,,229.30701325575586,77,23,Gd,243154
509,FV,16032.0,OldTown,9,1961,2000,Gd,CBlock,1199.0,Ex,1444,3,0,4,6,0,2.0,588.3633644825433,49,3,Gd,239943
510,RL,8859.0,Crawfor,8,1907,1926,Gd,CBlock,693.0,Gd,1982,2,0,3,7,1,1.0,266.4259068247968,48,17,TA,225240
511,RL,7431.0,SawyerW,7,1942,1967,TA,CBlock,904.0,Gd,1323,1,1,5,8,0,3.0,807.9275056716483,33,46,Gd,207195
512,C,6499.0,NWAmes,6,1919,1945,TA,CBlock,563.0,TA,1363,1,0,3,7,1,2.0,476.5040888832642,0,4,TA,160548
513,RL,10594.0,OldTown,9,1996,2010,TA,PConc,,Gd,1273,2,1,3,6,1,2.0,488.8412991750017,14,82,TA,197883
514,RL,11438.0,Edwards,9,1989,2006,TA,CBlock,1199.0,Gd,1051,2,0,3,5,0,2.0,485.0853999589333,5,65,TA,200730
515,RL,8363.0,NridgHt,3,1938,1950,TA,CBlock,1429.0,Gd,1825,1,0,3,6,1,3.0,780.351502125088,54,16,Gd,196696
516,RL,12336.0,NWAmes,2,1984,1999,Ex,BrkTil,931.0,TA,2374,2,0,1,4,1,,269.25410355527515,14,0,TA,233032
517,FV,11396.0,SawyerW,6,1948,1956,Gd,PConc,1135.0,Ex,1347,2,0,3,7,0,2.0,498.18491778130567,29,46,TA,200116
518,RL,10129.0,CollgCr,8,1963,1974,TA,PConc,1296.0,Ex,1227,2,0,4,8,1,1.0,226.22065017458078,21,63,Ex,216316
519,RM,7292.0,CollgCr,10,1961,1998,Gd,CBlock,773.0,Gd,1201,2,1,3,5,1,2.0,545.6342274215929,7,5,Ex,222172
520,RM,8554.0,CollgCr,5,2005,2010,Gd,CBlock,728.0,Ex,1228,2,1,3,7,0,3.0,753.0063481387502,158,74,TA,199119
521,RM,2710.0,Somerst,7,2006,2010,TA,PConc,783.0,TA,2159,2,0,3,7,0,2.0,,135,73,Gd,253291
522,RL,10707.0,NridgHt,6,1953,1987,TA,CBlock,895.0,Gd,1212,1,0,3,7,2,2.0,371.88231499521874,4,19,Gd,182775
523,RM,10079.0,OldTown,10,2004,2010,Gd,PConc,738.0,Ex,1265,2,0,1,3,1,3.0,776.8107457914427,87,47,Ex,239756
524,RL,10565.0,OldTown,8,1908,1923,TA,Slab,796.0,Gd,1003,1,0,3,5,2,2.0,450.23157206733777,33,17,Gd,163343
525,RL,11512.0,CollgCr,8,1987,2010,TA,PConc,1264.0,Ex,1617,1,0,2,4,1,2.0,525.8637277637872,74,24,Fa,235208
526,RM,11157.0,BrkSide,6,1936,1939,TA,PConc,,Fa,1473,2,0,2,6,0,2.0,453.4629014681639,8,11,TA,181737
527,RL,9668.0,NridgHt,6,1948,1972,Fa,PConc,1092.0,Fa,1045,2,0,4,8,0,2.0,507.99114634970044,7,5,TA,190631
528,RL,10146.0,NAmes,5,1940,1971,Gd,PConc,834.0,Gd,1142,1,0,1,3,1,1.0,238.64795416113725,110,41,TA,157373
529,RL,5787.0,NWAmes,3,1916,1955,TA,PConc,815.0,Ex,2113,2,0,5,9,1,3.0,907.6728729245974,114,0,TA,204019
530,RL,,Timber,9,1987,1999,TA,CBlock,1085.0,Ex,1513,2,0,3,7,0,2.0,557.0189394691187,31,25,TA,220418
531,RM,10151.0,BrkSide,8,1920,1936,TA,BrkTil,1037.0,Gd,1540,1,0,5,8,1,1.0,290.4189070056349,102,60,Gd,216635
532,RL,7792.0,SawyerW,10,1950,1986,TA,PConc,1233.0,TA,1542,2,1,2,4,1,,752.164299220716,55,7,TA,254560
533,RL,12580.0,Edwards,10,1958,1963,TA,CBlock,1390.0,Ex,2057,2,0,3,5,1,2.0,549.3416563468928,10,12,Gd,288004
534,RM,8024.0,NoRidge,7,1938,1956,TA,PConc,792.0,Ex,1081,1,1,3,7,0,1.0,252.74950232803425,19,26,Gd,162278
535,RL,10648.0,CollgCr,8,1954,1966,Ex,PConc,1258.0,Ex,1341,2,1,4,8,0,2.0,588.1754820460236,7,8,Ex,231059
536,RM,10349.0,Mitchel,9,1940,1965,Fa,PConc,676.0,Gd,1432,2,1,3,6,2,3.0,743.4694141269354,74,56,Gd,222516
537,RL,12238.0,Crawfor,8,1938,1951,TA,PConc,1622.0,TA,811,2,1,3,5,1,3.0,624.2259593675285,210,13,Gd,215889
538,RL,12702.0,NridgHt,5,1912,1942,TA,CBlock,764.0,Ex,1133,2,1,4,6,0,3.0,570.1240627271454,39,26,Gd,171272
539,RL,12082.0,Somerst,6,1963,1966,TA,PConc,1207.0,Ex,1918,1,1,3,7,1,3.0,900.1480007608063,53,7,TA,219863
540,RL,3681.0,OldTown,4,1910,1948,Gd,BrkTil,673.0,Gd,1804,2,0,1,3,0,0.0,0.0,68,1,Gd,175517
541,RM,13582.0,Mitchel,10,2009,2010,Ex,CBlock,954.0,TA,1874,1,0,3,7,0,2.0,532.6554110025045,12,5,TA,251337
542,RL,14581.0,OldTown,7,1918,1942,TA,CBlock,1463.0,TA,1264,2,1,3,6,0,3.0,884.0683058062423,20,1,TA,190240
543,RH,8553.0,Somerst,5,1910,1922,Gd,BrkTil,754.0,TA,1313,2,1,3,7,0,2.0,400.8959033764427,26,18,TA,160156
544,RL,10709.0,Edwards,7,1976,2007,Gd,BrkTil,1661.0,Ex,784,1,1,3,6,1,2.0,478.4839270860915,45,26,Gd,186133
545,RL,7327.0,Somerst,7,1945,1982,TA,CBlock,998.0,Ex,1872,2,1,2,6,1,2.0,485.835810223098,95,1,TA,226467
546,RL,4154.0,CollgCr,6,1944,1981,TA,CBlock,1292.0,Fa,1938,1,1,3,6,0,2.0,544.5365139924209,14,2,Ex,227205
547,RL,7783.0,BrkSide,4,1900,1927,TA,PConc,1120.0,Fa,1933,2,1,4,7,1,3.0,687.6623797409206,31,19,TA,211072
548,RL,8379.0,NAmes,7,1939,1968,TA,CBlock,1137.0,Gd,2141,2,1,3,5,1,2.0,427.9175753891126,69,48,TA,243119
549,C,8935.0,Somerst,7,2007,2009,TA,CBlock,572.0,Gd,1668,1,0,3,7,0,2.0,427.3790809401736,4,29,Gd,216053
550,RL,7123.0,BrkSide,8,1918,1945,TA,BrkTil,858.0,TA,2122,3,1,2,4,1,4.0,1137.9301691526425,35,3,Gd,256812
551,RL,,NAmes,7,1975,1977,Gd,PConc,1358.0,Ex,1419,2,1,3,5,1,2.0,455.44807437181294,7,65,Gd,224045
552,RL,9966.0,OldTown,8,1971,2004,Gd,PConc,896.0,Ex,793,1,1,2,6,1,1.0,233.43947547034566,38,74,TA,183877
553,RL,7689.0,Sawyer,7,1971,1986,TA,PConc,1041.0,Gd,1844,2,1,3,5,1,2.0,538.0698890436743,73,11,TA,232818
554,RL,11630.0,Timber,7,1960,1981,Fa,CBlock,535.0,Fa,778,2,0,3,5,0,3.0,687.094913258859,13,28,TA,166922
555,RL,12044.0,BrkSide,9,2008,2010,Gd,PConc,838.0,Gd,1568,3,0,4,6,0,3.0,596.5546419519923,94,20,Gd,259708
556,C,,Sawyer,6,1911,1948,Gd,CBlock,1336.0,TA,1882,2,1,2,6,1,3.0,607.6468943647592,20,85,Gd,243728
557,RL,,NWAmes,5,1960,1967,TA,PConc,615.0,Ex,1629,2,0,3,5,1,2.0,496.5915561970725,10,21,Ex,205480
558,RL,10729.0,NAmes,2,1932,1939,TA,PConc,1215.0,Ex,2411,2,0,3,5,0,2.0,529.8397058219133,31,96,TA,220492
559,RL,8139.0,Edwards,8,1944,1949,Fa,PConc,1053.0,Ex,713,2,0,3,5,0,3.0,731.7979280534622,104,6,Gd,179039
560,RL,10881.0,NridgHt,7,1989,2002,TA,CBlock,929.0,Fa,1466,2,1,4,8,1,3.0,788.7398433428162,3,12,Gd,229076
561,RL,10979.0,Gilbert,8,2002,2010,TA,PConc,916.0,Ex,1506,1,1,3,6,0,,201.6148742197709,19,45,TA,213393
562,RL,8460.0,Somerst,5,1991,2010,TA,CBlock,852.0,Ex,962,2,1,2,5,0,1.0,203.64089377095675,52,45,TA,149039
563,RL,12351.0,Mitchel,5,1968,1977,Ex,Slab,879.0,TA,1038,2,1,3,6,0,4.0,1270.472309955309,22,39,TA,181766
564,FV,5805.0,Gilbert,2,1907,1909,TA,Slab,1278.0,Ex,1161,3,0,3,6,0,3.0,,3,58,Gd,156435
565,RM,9266.0,BrkSide,6,1924,1935,TA,CBlock,870.0,TA,1060,1,0,1,3,0,3.0,819.2074702708666,20,36,TA,180458
566,RL,11667.0,Timber,7,1990,2010,Gd,CBlock,1542.0,Gd,1456,2,0,3,7,1,3.0,,86,30,TA,240636
567,RL,9137.0,SawyerW,6,1945,1973,Gd,PConc,1089.0,Ex,1258,3,1,3,5,0,2.0,485.71962855617295,172,18,TA,200063
568,RM,9379.0,Sawyer,6,1986,1990,TA,Slab,827.0,Gd,1627,2,0,3,7,2,2.0,499.899360971984,2,18,Gd,204296
569,C,9586.0,SawyerW,9,1929,1953,TA,PConc,1292.0,Fa,1759,2,1,2,4,2,2.0,578.8607668229914,42,15,Ex,255322
570,RH,7493.0,NridgHt,6,2008,2010,TA,CBlock,1187.0,Ex,1732,2,0,3,6,2,1.0,262.08348299335273,5,29,Gd,230195
571,FV,13521.0,BrkSide,7,1946,1966,Ex,PConc,503.0,TA,1335,2,0,3,6,1,2.0,531.5548280772681,57,15,TA,180339
572,RL,6945.0,Edwards,8,1986,2005,TA,PConc,689.0,Ex,1613,2,1,3,7,1,2.0,489.94070389295,0,4,Ex,232847
573,FV,10954.0,NAmes,6,1948,1986,TA,PConc,965.0,Ex,1914,1,0,5,7,0,2.0,547.559904010405,0,3,TA,197242
574,FV,11240.0,BrkSide,7,1946,1967,Gd,CBlock,524.0,Ex,1678,2,1,2,5,0,2.0,518.1393648458763,75,77,TA,206597
575,RL,7154.0,Somerst,9,1983,1986,TA,CBlock,1627.0,TA,2243,1,0,5,9,0,2.0,502.64136396474083,3,0,TA,282220
576,RL,10219.0,SawyerW,9,1981,1993,Gd,CBlock,1246.0,Gd,1892,2,0,3,5,0,1.0,227.70747483441187,18,3,Ex,261596
577,RL,7271.0,SawyerW,5,1917,1936,TA,PConc,996.0,Ex,2187,2,0,4,8,1,2.0,493.18569547390206,158,17,TA,223914
578,RL,14173.0,SawyerW,9,1965,1977,TA,CBlock,897.0,TA,503,2,0,3,5,2,1.0,217.61401888660134,210,9,TA,168429
579,RL,6583.0,Edwards,7,1967,1983,TA,PConc,820.0,Ex,1538,1,1,3,5,0,1.0,248.79582982039136,8,15,Gd,193601
580,RL,8038.0,Somerst,5,1993,2010,TA,PConc,410.0,Ex,1370,3,0,4,6,1,4.0,1010.669362955788,41,3,Fa,198296
581,RL,6327.0,Edwards,6,1932,1964,TA,CBlock,480.0,Ex,1450,1,0,4,8,1,1.0,177.86444846181058,40,4,Gd,165570
582,RL,5926.0,NWAmes,10,1935,1935,Fa,BrkTil,1570.0,Gd,1178,1,0,3,7,0,2.0,486.17962765396976,30,48,TA,219543
583,RL,14773.0,OldTown,7,1981,1995,TA,PConc,1472.0,Gd,1658,1,1,2,4,2,2.0,429.4471877237244,129,42,Gd,227861
584,RM,11628.0,OldTown,6,2000,2010,Ex,CBlock,827.0,TA,776,3,1,3,6,1,2.0,529.9183595310017,70,3,TA,167440
585,RL,10420.0,Timber,7,1918,1934,TA,CBlock,1272.0,Ex,1661,3,0,4,6,0,1.0,269.11479230652986,72,33,TA,222734
586,FV,8030.0,SawyerW,5,2010,2010,Gd,BrkTil,1151.0,Ex,1191,2,0,3,7,2,3.0,,15,28,Gd,209641
587,FV,12722.0,Gilbert,4,1927,1934,Ex,PConc,1187.0,TA,1299,2,1,3,5,1,3.0,799.4119878409724,28,37,TA,191260
588,FV,7527.0,CollgCr,4,1939,1965,Ex,PConc,572.0,Ex,1675,1,1,3,7,0,2.0,535.4640161801036,33,19,TA,187965
589,RL,12380.0,NWAmes,4,1983,2005,Gd,PConc,457.0,TA,1531,3,0,4,6,1,2.0,486.2170496352939,17,9,TA,187463
590,RL,7382.0,Sawyer,5,1996,2003,TA,PConc,1354.0,Ex,1921,1,1,3,5,1,3.0,888.0858277773291,4,32,Gd,239912
591,RL,8066.0,Crawfor,5,1975,1982,Gd,PConc,406.0,Ex,1112,1,1,3,6,0,3.0,684.7432556694149,6,13,Gd,178400
592,RL,12274.0,NoRidge,7,1914,1939,Ex,Slab,955.0,Ex,1467,1,1,5,8,1,,588.28194219519,9,7,TA,220007
593,C,12591.0,NridgHt,5,1940,1952,TA,PConc,889.0,Ex,1855,2,1,3,7,2,1.0,243.24401712450384,11,15,Gd,203924
594,RL,11792.0,NoRidge,6,1938,1976,TA,BrkTil,861.0,Ex,1644,2,1,3,5,1,2.0,449.40041880644196,13,43,TA,203232
595,RL,6850.0,Mitchel,9,1901,1937,TA,PConc,1094.0,Ex,1670,2,0,3,7,1,2.0,478.9070914517371,14,19,Ex,241479
596,RM,8659.0,NWAmes,6,1962,1989,Gd,BrkTil,796.0,Ex,1943,3,1,3,5,1,1.0,217.0183231681203,30,10,Gd,232932
597,FV,10470.0,BrkSide,7,1928,1952,Gd,CBlock,1118.0,Ex,1337,2,0,3,5,0,2.0,547.0734720433521,35,53,TA,199989
598,RM,7452.0,OldTown,5,2004,2010,Gd,PConc,1042.0,Ex,1253,1,1,3,5,2,2.0,403.83386131548343,18,64,TA,206663
599,RL,14112.0,Edwards,5,1973,1974,Gd,CBlock,1629.0,Ex,1730,2,0,3,6,1,2.0,583.3765132261295,118,17,TA,214596
600,RL,2794.0,Gilbert,3,1965,1982,TA,PConc,584.0,Ex,1440,2,0,3,7,0,3.0,665.7719518428186,40,14,TA,159817
601,RL,7663.0,NAmes,5,1950,1966,TA,PConc,1008.0,Ex,1948,2,1,3,5,1,3.0,825.298803466136,77,28,TA,209867
602,RL,8471.0,Mitchel,5,1974,2003,Gd,PConc,1129.0,Gd,1647,2,1,3,5,1,2.0,501.4535516636281,129,1,TA,227166
603,FV,2000.0,NAmes,5,1976,2010,Gd,PConc,923.0,Gd,1250,2,0,3,7,0,3.0,774.3733754744636,8,35,Fa,188247
604,RL,,NAmes,4,1909,1921,Gd,CBlock,598.0,Gd,1635,1,0,3,7,1,1.0,232.2986988616791,27,45,TA,156074
605,RL,11875.0,Crawfor,4,1913,1944,Fa,CBlock,1377.0,Ex,1138,2,0,3,5,1,3.0,,28,15,TA,168530
606,FV,10090.0,Sawyer,6,1981,2009,Gd,PConc,1101.0,Ex,1878,3,1,3,6,1,1.0,254.0492286565259,21,5,Gd,237403
607,RL,14719.0,Mitchel,5,1950,1979,TA,BrkTil,619.0,Ex,941,1,1,3,6,0,1.0,206.26266795492018,0,0,TA,122604
608,RM,14635.0,NridgHt,6,1972,1989,TA,BrkTil,1131.0,TA,1988,2,0,4,6,1,2.0,,84,30,Gd,240669
609,RM,11299.0,OldTown,7,1938,1950,Ex,PConc,1510.0,Ex,1628,2,1,3,6,1,,467.5452733394116,5,9,Ex,230041
610,RM,10939.0,SawyerW,7,1927,1947,Fa,PConc,989.0,Ex,1434,1,1,3,7,2,3.0,682.0503133686195,269,18,Gd,216375
611,RL,10197.0,Gilbert,3,1902,1931,TA,PConc,999.0,Ex,1805,3,0,3,6,1,2.0,575.1686567230191,74,14,Gd,184800
612,RL,,NridgHt,8,1983,2003,TA,CBlock,1470.0,TA,1704,2,1,3,7,1,2.0,500.42085103085,43,5,Gd,249811
613,FV,5816.0,Somerst,7,1969,1985,Gd,PConc,708.0,Gd,2032,2,0,3,7,0,,453.2797191416071,8,21,TA,246370
614,FV,10302.0,OldTown,4,1926,1965,TA,PConc,1518.0,Ex,2028,1,1,3,7,1,2.0,470.55381055981763,36,18,TA,221223
615,RL,11848.0,NoRidge,9,1901,1919,Gd,CBlock,1291.0,Ex,1640,1,0,3,7,0,2.0,469.732214987176,15,29,Gd,235363
616,RL,10869.0,Edwards,9,1992,2006,Ex,CBlock,722.0,TA,1151,2,0,3,6,0,2.0,482.71703167969605,14,8,TA,212070
617,RL,7322.0,Timber,3,1937,1945,TA,PConc,799.0,Ex,1283,2,0,3,7,0,3.0,653.220353575236,88,7,TA,153334
618,RH,12812.0,Mitchel,5,1902,1911,TA,BrkTil,842.0,Gd,1471,3,0,2,4,1,3.0,676.7462000462413,23,50,TA,189520
619,RL,14447.0,Mitchel,8,1915,1945,Gd,CBlock,449.0,Gd,1932,1,1,3,7,0,4.0,1091.9928293397052,29,36,Gd,237369
620,RL,12813.0,BrkSide,8,1993,2010,TA,PConc,1078.0,Ex,1317,1,0,2,4,0,2.0,511.1205862020148,92,44,TA,208318
621,RL,12968.0,BrkSide,5,1939,1968,TA,CBlock,736.0,Ex,1350,1,0,4,8,0,2.0,490.859747207588,4,3,Gd,160877
622,RL,8322.0,NAmes,5,1901,1933,Gd,PConc,1088.0,Ex,2239,2,1,4,8,1,2.0,500.157369038906,45,7,Gd,235825
623,FV,13227.0,NWAmes,6,1980,1988,TA,CBlock,612.0,TA,1458,3,0,4,7,1,2.0,497.2663546054754,43,25,Gd,198056
624,RL,10437.0,Somerst,7,1940,1940,TA,PConc,1276.0,Gd,1246,2,0,4,8,0,2.0,487.45213371610134,27,58,TA,206118
625,RL,11534.0,CollgCr,7,1911,1945,TA,PConc,1221.0,TA,1810,2,1,3,7,1,4.0,1062.0525806448975,88,66,TA,237262
626,RL,11096.0,Crawfor,6,1934,1944,TA,PConc,,Gd,1477,2,1,4,7,0,2.0,526.5895991508755,143,53,Gd,188258
627,RL,9635.0,BrkSide,6,2006,2010,Gd,PConc,1107.0,TA,944,2,0,2,5,0,3.0,608.5413324095506,31,1,Gd,204689
628,RL,7419.0,NWAmes,8,1964,1979,TA,CBlock,1024.0,TA,1916,1,0,2,4,0,3.0,738.1594032681681,30,51,TA,258672
629,RL,9753.0,Crawfor,3,1954,1962,TA,CBlock,1444.0,Ex,1201,2,1,4,7,0,3.0,614.476254059331,34,68,TA,177094
630,RL,12960.0,Gilbert,5,1944,1975,TA,PConc,690.0,Ex,1517,2,0,2,4,1,,807.2019483110137,64,1,Gd,194955
631,FV,8675.0,NoRidge,8,1978,1992,Gd,PConc,954.0,Gd,1472,1,0,5,9,0,2.0,546.059993411017,55,16,TA,216480
632,RL,12680.0,NoRidge,9,1989,2000,TA,CBlock,807.0,Gd,1592,1,0,3,5,1,2.0,463.35326614149824,12,23,Fa,239950
633,RH,12211.0,Sawyer,7,2000,2010,TA,PConc,1013.0,Ex,623,2,0,4,7,2,2.0,492.99446267991704,3,7,Gd,168478
634,RL,9103.0,Mitchel,7,1984,1997,Gd,PConc,1159.0,TA,1365,2,1,3,7,0,0.0,0.0,149,21,TA,195617
635,RL,14166.0,OldTown,4,1961,1968,TA,CBlock,804.0,Ex,1949,1,1,3,5,0,2.0,558.3673888455216,15,65,Ex,207103
636,RL,8933.0,NoRidge,6,1948,1955,TA,CBlock,890.0,Ex,2006,1,1,2,4,1,2.0,542.5804244150842,50,60,TA,223929
637,RL,14528.0,Gilbert,7,1994,2010,Gd,CBlock,1289.0,Gd,1103,2,1,4,6,0,2.0,569.0051157042516,88,84,Gd,215717
638,RL,11302.0,BrkSide,5,1924,1935,TA,CBlock,1407.0,Ex,1868,3,0,2,6,0,4.0,1178.385296840452,17,19,Gd,225701
639,RL,9952.0,NAmes,5,1922,1922,Gd,PConc,1148.0,Ex,1195,2,0,3,5,0,3.0,639.8301636320903,50,15,TA,178449
640,RL,7336.0,NridgHt,6,1923,1962,Ex,CBlock,958.0,Fa,1350,1,1,3,5,2,1.0,276.64132604915324,5,32,TA,187051
641,RL,9735.0,SawyerW,2,1937,1947,Gd,PConc,930.0,Gd,1371,1,0,2,5,1,2.0,588.7582666651076,175,16,Gd,156969
642,RL,9388.0,NridgHt,6,1927,1965,Gd,PConc,1164.0,TA,1543,1,0,3,5,0,2.0,410.32532773824585,2,1,Ex,211757
643,RL,6225.0,BrkSide,5,1920,1950,Gd,CBlock,1068.0,Gd,1900,1,1,2,6,0,2.0,489.7273272892572,28,38,Gd,211211
644,RL,9347.0,SawyerW,6,1953,1969,TA,CBlock,505.0,Gd,1605,2,0,3,6,0,3.0,717.2938215093518,38,9,TA,200419
645,RM,7588.0,Crawfor,4,2006,2010,Gd,PConc,1171.0,Gd,1449,2,0,3,7,0,2.0,551.3277118514899,78,1,TA,193211
646,RL,11757.0,NridgHt,9,1917,1948,TA,PConc,741.0,Ex,1886,2,1,3,6,0,2.0,356.3635360193552,6,0,TA,226223
647,FV,13918.0,OldTown,7,1935,1963,TA,CBlock,574.0,Gd,1178,2,1,3,6,1,3.0,913.4361926608974,29,80,TA,177939
648,RL,6319.0,NridgHt,7,1998,2010,TA,BrkTil,499.0,Ex,1469,1,0,3,5,0,3.0,739.8716642224866,17,8,TA,210762
649,RH,15136.0,NoRidge,8,1944,1964,TA,CBlock,935.0,Fa,1898,2,1,3,7,0,1.0,277.4828320605144,18,17,TA,235563
650,RL,9614.0,OldTown,7,1972,2010,TA,PConc,695.0,Ex,1711,2,0,4,6,0,2.0,,75,90,TA,227727
651,C,7074.0,SawyerW,4,1952,1974,TA,CBlock,302.0,Ex,1313,2,0,2,5,0,2.0,529.5275030587804,0,18,TA,159914
652,RL,12273.0,NWAmes,7,2001,2006,Gd,CBlock,892.0,Gd,894,1,1,2,4,2,2.0,360.714904483031,69,2,TA,186979
653,RL,8660.0,Gilbert,7,1929,1950,TA,CBlock,852.0,Gd,1624,2,1,3,6,0,1.0,238.4535288159787,83,24,Gd,198464
654,RL,9754.0,NoRidge,8,1959,1996,TA,PConc,955.0,Ex,868,1,0,3,6,0,2.0,550.8656726806207,115,2,Gd,185881
655,RL,8787.0,Mitchel,6,2007,2010,Ex,PConc,811.0,Ex,1414,1,0,3,7,0,2.0,,49,2,Gd,212894
656,FV,7549.0,Edwards,4,1997,2004,TA,PConc,1548.0,TA,1971,2,0,3,7,0,2.0,401.78953443639455,20,57,TA,224777
